Hebrew,Russian
נמשכתי,Я был привлечен
שחשובים,Важный
קיוותי,"Я надеялся,"
ביוקאנן,Buchanan
לגבעות,Холмы
חומים,коричневый
קורסת,Сбои
שידאג,Береги себя
יעיפו,Выброшенный
יענו,Ответ
פורחים,цветение
מפכ,Буске
בזרועותיו,Оружие
שיכלתי,Я мог бы
בפז,Паз
גסטון,Гастон
םג,Мэг
וחזרנו,И вернулся
סינון,фильтрация
רובכם,Большинство из вас
מתיחת,растягивание
כפיל,каскадер
ולהפעיל,И бежать
באלכוהול,Алкоголь
לרעיונות,идеи
במיטת,Постель
אנסו,изнасилованная
לקוטב,полюс
שאלן,Алан
שיקחו,Быть взятым
העדפתי,Я предпочел
עניבות,Галстуки
יָמִינָה,правильно
לעובד,Наемный рабочий
להתפרסם,будут опубликованы
התוספת,Вставной
ההרוגים,мертв
מהתאונה,Несчастный случай
גלם,необработанный
מותקפים,Напали
ייפלו,Осень
צרפתיים,Французский
וראו,И увидеть
הנריק,Генрик
לצורה,форма
ברגשותיי,Мои чувства
לקראתי,ко мне
אגרות,облигации
בשיטות,методы
קריסה,авария
too,тоже
ארוטי,эротический
בהצעה,Предложение
שלכולנו,Мы все
אקלים,климат
ומשעמם,И скучный
בְּדִיוּק,именно так
קלוין,Кальвин
יאפשרו,Позволять
התבוננות,наблюдение
קיונג,Kyung
למסדר,порядок
המקובל,Принято
להתחזק,стать сильнее
נבזה,несчастный
שתפס,пойманный
מסילות,треков
תוכננה,предназначенный
כוחותיי,Моя сила
בלייזר,блейзер
אלקטרוניים,Электронный
מחמירה,Хуже
בניידת,крейсер
שיקבלו,Получить
מהאל,жилище
לאסיר,пленный
ארצו,Страна
מיקרו,Микро
לצופים,Зрителям
אלחוט,беспроводной
בסניף,Ветвь
שמשטרת,Полиция
לנשימה,дышащий
קצבת,пособие
בנקמה,Жажда мести
igt,IGT
ומכוער,И некрасиво
מלכלך,Грязный
להוליך,вести
לעיסה,жевание
אמליה,Амелия
really,действительно
לסקר,Опрос
הכותנה,Хлопок
נקבור,закапывать
הקיאה,вырвало
מדיח,Посудомоечная машина
לשנן,запоминать
ביזבוז,Трата
טרמפים,Аттракционы
להתנגש,конфликтовать
המוכרים,Продавцы
סקנלון,Скэнлон
הטשטוש,пятно
ליאונרדו,Leonardo
ברובים,Оружие
מזכר,меморандум
בעלי,С участием
כשאתן,Когда ты
משלוחי,Отгрузки
ומאט,И Мэтт
חטאינו,Наши грехи
בבחירת,Выбор
לקים,Полировка
כתובים,Письменные
נתנהג,Вести себя
סטרייקר,Stryker
שלמטה,Ниже
ברכיך,колени
ויולה,альт
יחל,Будет
נתיבים,Маршруты
ודו,шаман
מתפקידו,Из офиса
יוצלח,неудачник
טיטניום,титан
התחבאת,Вы спрятали
חניכה,инициирование
שיספר,сказать
לנשנש,Munchies
הסירנה,Сирена
סילק,шелк
טסת,Если вы летите
מיוצר,произведенный
למשבר,Кризис
לריקודים,танец
למסעדת,Ресторан
בלימודי,Изучение
נחשבות,Считается
נהפכת,становится
נצחונות,Победы
מוזכר,упомянутый
גנאי,дурная слава
האלונקה,носилки
העוזרים,Помогите
המהירים,Самый быстрый
התווכחו,Обсуждена
יוצרי,Творцы
והבוס,И босс
שרטוטים,рисунки
תעלומת,тайна
הסי,ЦРУ
הדומה,Похожий на
ודאג,И Doug
פשטידה,пирог
החיפושיות,Битлз
שניתנו,Предоставляется
מעליבה,Наступление
כחשוד,подозрительный
למדיניות,политика
בפאלם,Пальма
הלטאה,ящерица
ההליכים,процедуры
התעסוקה,Трудоустройство
אריץ,«Ll запустить
לארקין,Ларкин
בכוחו,Мощность
subtitle,подзаголовок
תטוס,Fly
ומספיק,И достаточно
נשלטת,Управляемая
שוהים,пребывание
עיצבן,раздраженный
הטורנדו,торнадо
וכחול,И синий
שאמילי,Эмили
באטלנטיק,Атлантика
חאלד,Халед
שדואג,Какая разница
וליל,И ночь
הועיל,польза
חובשת,медсестра
המטאורים,Метеориты
בירקהוף,Birkhof
קנגורו,кенгуру
גוברת,Увеличение
חבש,Абиссиния
נפוחות,вздутый
שתזכרי,Запомнить
פרועים,дикий
לקרר,круто
טקסים,Церемонии
החשד,подозреваемый
הסאונד,Звук
הקליפה,Оболочка
יומם,День
לחתן,свита
הפסטה,Макаронные изделия
חקלאים,Фермеры
אמיתות,Truths
למדתם,Ты выучил
them,к ним
הוריש,Завещал
יתפשט,Распространение
צמיחה,рост
יוקי,Yuki
ברבעון,четверть
להימאס,надоело
האיכר,Фермер
אזרחיים,штатский
תאטרון,театр
שמרני,консервативный
התנצלויות,извинения
התפטרת,Ушел в отставку
אלדן,Олден
ועיניים,И глаз
never,никогда
לדיג,Рыбная ловля
בנתה,Имеет встроенный
בירושה,унаследованный
שרו,Sang
יפעלו,Будет
מורח,намазывать толстый слой
באנץ,гроздь
ומאוחר,И позже
חומץ,Уксус
אימפריית,империя
ונהרג,И убили
חדיר,проницаемый
התנהגותך,Поведение
ולשיר,И поют
לייטון,Лейтон
להפריך,опровергнут
האכלת,питающий
דבוק,застрял
בחשבונות,учетные записи
סותם,обструктивный
נקשור,Tie
ילדותית,девчачий
רצונם,Желание
באשתך,Ваша жена
שהתובע,прокурор
התעודות,документы
הסתובבי,Повернись
שיעזוב,Уехать
נשגב,возвышенный
בפזיזות,опрометчиво
ועומד,Отправившись
הכספומט,Банкомат
מסמלת,Представляет собой
לדקלם,Читай
ברונקס,Бронкс
הזהויות,Тождества
וצדקת,И правда
life,жизнь
הקרנבל,Карнавал
הזמנית,предварительный
הסתירו,спрятанный
ולמנוע,И предотвратить
הבשורות,Евангелий
שחכתי,Забыл
כמישהו,Кто то
יומית,Повседневная
יוזמת,инициатива
הסיגרים,сигара
נספק,Обеспечит
מזייפת,фальсифицирующий
מטיילת,Гулять пешком
תפרסם,Публиковать
והתעוררתי,И пробудился
נזיד,тушеное мясо
המשטר,Режим
מניה,доля
מכוניתך,МАШИНА
תימצא,Найденный
מוסקט,мускатный
כשהבנתי,"Когда я понял,"
ביחסי,связи
המוכרת,признанное
מקוללים,Проклятый
ופיט,И Пит
נפרוץ,Прорвать
נחתם,подписанный
בבוורלי,Beverly
שריקות,шипение
hentaiman,hentaiman
שאמנדה,Аманда
שהסכמתי,я согласился
נשרפים,сожженный
קראט,Коннектикут
פרובנזה,Frobnzh
ושותה,И пить
פסיכוטית,психотический
היציבות,стабильность
שאולין,Шаолинь
הפסיכי,псих
המברשת,Щетка
אימת,"Всякий раз, когда"
יות,Акции
נורמאלית,Как обычно
שלואיס,Льюис
מחמיצה,Отсутствует
הבז,сокол
מריאל,Мариэль
פניכם,желанный
ועזבתי,И влево
מחזיקות,Держать
התמימות,невинность
תבקר,Посещение
ואנדי,И Энди
אינדיקציה,индикация
ובנוגע,И о
אגודלים,Недурно
ממאדים,Марс
הפכתם,Вы превратили
תליתי,Я повешен
שצופים,наблюдение
תחמיא,льстить
נאבקה,Сражались
שהובילה,ведущий
קשרתי,связанный
בסטנפורד,Stanford
הבנקאי,Банковское дело
האוטובוסים,Автобусы
וריי,И Рэй
סנכרן,Синхронизировать
רצחנית,убийственный
קיז,Ключи
ואמנדה,И Аманда
תתחפפי,Отвали
קונוויי,Conway
לחדול,унимался
מראיין,интервьюер
לסמם,"препарат, средство, медикамент"
חלים,Применять
ידידתי,друг
לאונס,Изнасилование
הדי,Отголоски
לשיניים,Зубы
הרסתם,разрушенный
איומי,Угрозы
שהלכה,Гулять пешком
הדייגים,Рыбаки
מתוקן,исправленный
קאמבק,Вернись
משלימים,дополнительный
להצעת,Предложение
מתחממים,Разогреть
ההסגר,Карантин
מאחוריכם,За тобой
לפרוע,платить
מתפעל,Marvels
הדודג,изворачиваться
ומשחקים,И игры
למותי,Моя смерть
גורש,Депортированные
הזריק,введенный
חזיתי,лобовой
נאדין,Надин
הכיל,Содержится
שאגי,мохнатый
מבוססות,установленный
למשש,Чувствовать
הבוקרים,Ковбои
איילה,Аяла
לתושבי,Резиденты
שהגרמנים,немцы
ריילנד,Riilnd
שישימו,Поставим
מחייג,Циферблаты
בקפדנות,Осторожно
הריקים,пустой
ספוט,"Пятно, место"
מאליה,Малья
בבה,ромовая баба
הרוכבים,жокей
אריס,Арис
וניסע,И привод
היהירות,высокомерие
בידיוק,Bidiok
באיזושהי,В некоторых
סוגדים,почитание
אחר,Другой
פטרלי,Петрелли
והחל,И началось
וסיפר,И сказал
החששות,Опасения
וואט,W
מוטרדים,Обеспокоенный
way,путь
פלוץ,Пердеть
נפתחים,Открытие
התגורר,Он жил
חטטנית,пронырливый
גרגר,зерно
ויציב,стабильный
שהוצאנו,Мы опубликовали
העמים,содружество
אוניות,Суд
אישרת,Вы приняли
יתפתח,Evolve
אוווו,Оооо
שפירו,Шапиро
תכסח,Не будет стоять
פוט,Фут
למספיק,Достаточно
להזרים,Ручей
דפוסים,Узоры
פוטנציאלית,потенциал
אתונה,Афины
מילאן,Милан
הברביקיו,Барбекю
בהשראת,Вдохновленный
העגבניות,помидоры
רגלך,ножка
תתפזרו,Рассеивать
בדיחת,шутка
לסוזן,Сьюзен
בפראות,Дико
הוגש,Отправлено
ספציפיים,Конкретный
פוסקו,Posco
מאנה,Mana
משמאלך,Слева
מנוגדים,сопротивление
מפרשים,паруса
ב,В
הברה,слог
אלמו,Elmo
רחבות,Ангары
התעוררות,пробуждение
שיחשיך,Тьма
לשיעורים,Классы
ציפייה,ожидание
ארול,Эррол
כושלת,провал
יחידים,Лица
פלטינה,платина
טפרים,когти
אוהו,ой
הנדיבה,великодушный
שתשכח,Ты забыл
כשקראתי,чтение
השרברב,водопроводчик
קוטג,коттедж
המפגשים,Встречи
תרחיקי,Изгнать
לימה,Лима
והשתמש,И использование
תרנגולים,Петухи
טרויה,Трой
מעסה,массажист
ירינו,выстрел
חיבל,саботировали
נשלחים,Отправлено
תקועות,Прикрепленный
פרובישר,Фробишер
סחוט,выжатый
הטמפרטורות,Температуры
נשמעות,Звук
מגורש,исключенный
יאו,Yao
לנשיקה,Поцелуй
הסימון,Проверьте
לפורטלנד,Портленд
אוייבים,враги
הקשקוש,GobbledyGook
חניקה,удушение
תפקחי,Продолжать
אמורי,Эмери
בקס,Бекс
יהוה,Иегова
גיסתי,Моя сестра в законе
לסטיבן,Стивен
עפעף,веко
באפס,Нуль
קצבים,Мясники
גסת,сырой
משתק,парализующий
ליחסי,связи
כבולות,Связанный
עסוקות,Занятый
מעורך,редактор
סורן,Сорен
נכסה,Мы покрываем
לאנני,Энни
ויורד,вниз
ללוסי,Люси
הורמון,гормон
רוצחו,киллер
הנדיבות,Щедрость
בתזוזה,сдвиг
שאן,Шеан
שנוצרה,созданный
בליפ,бип
לסידני,Сидней
ולהתנצל,И извиниться
תיארת,Вы описали
רפש,тина
ליסי,Лиси
ומדי,И каждый
הומה,Переполненный
טרגית,Трагически
שוקולדים,шоколадные конфеты
ולוק,Локк
המארב,засада
התאהבות,влюбляться
ומתים,И мертвый
האלמנטים,элементы
המפרש,ПАРУСА
שאנדי,Энди
פיננסית,финансовый
ראובן,Рувим
לצנרר,интубировать
וירוסים,Вирусы
משובחת,хорошо
צביעה,картина
סמטה,аллея
ידיעות,знания
חפוז,поспешный
הדמוקרטים,демократы
איכותית,Качественно
סעיפים,Разделы
בחייכן,Улыбающиеся
ואור,И свет
הנקניק,ДИК
למזח,пирс
וזקן,И старый
שחקניות,Актрисы
ומזל,И удачи
מתאחדים,объединенный
משוחד,пристрастный
יחסלו,разрушит
שוחח,говорит
למחלת,Болезнь
מכבים,Макабим
נעמד,Подставки
רווי,насыщенный
ויורה,пожары
התגשם,сбылась
רכשת,купленный
לדלק,Делек
וצאו,И идти
התעמולה,пропаганда
יורידו,ниже
ההתאוששות,восстановление
נקבת,Женщина
מעסיקה,имеет
סנטימנטלי,сентиментальный
ברקסטון,Брэкстон
חבריהם,друзья
שתקפו,Напали
לִרְאוֹת,Увидеть
ביניכן,Среди вас
לפעמיים,Дважды
וירטואלי,виртуальный
בהערכה,Стандартное восточное время
מגדר,Пол
לבחינה,Экзамен
לוו,Сопровождаемый
בירוק,зеленый
עיניין,Ато
חמוציות,клюква
התומכים,Поддержка
טכניים,технический
הסתבכו,Запутанные
מופנה,Направленное
שישלמו,Оплатить
אנקום,отомщу
הרשתה,Позволил
המאוחרת,поздно
וות,равных
המרצה,стимуляция
גררתי,Я потащил
היושב,Оратор
מתחשבת,заботливая
עיט,орел
ספייס,пряность
גופרית,сера
יתקדם,Прогресс
שיל,Шилл
מהקהילה,сообщество
מלגת,ученость
מביס,Поражения
סילאר,Sylar
מסלולי,Дорожки
בסירת,Лодка
נוכחותו,Присутствие
למדינות,страны
החומרה,аппаратные средства
מרמזת,Предлагает
לטירוף,сумасшествие
זיוני,Бред сивой кобылы
סיליקון,кремний
בפטיש,молоток
פקפקתי,сомневалась
מסופר,сказал
חורבה,разорение
קינן,Кинан
רולקס,Rolex
הוורידים,Жилы
סבו,Дедушка
עסקך,Ваш бизнес
יידרשו,Потребуется
תשושה,Измученные
גסס,умирающий
ואמילי,И Эмили
הלסינג,Helsing
תוכניתו,Строить планы
גנובות,Украденный
לתאי,Камеры
שאילו,Что если
הוחלף,Switched
ביק,Бик
אגבה,агава
זמניים,временный
פריה,Freya
התגרות,провокация
והגענו,И прибыл
זריזות,проворство
ובבית,И в
כשהתקשרתי,Когда я звонил
הורדה,Скачать
בתורנות,вращение
קנטאקי,Кентукки
תיאום,координация
תרוצו,Бежать
מוסבר,объяснил
המזכר,напоминание
הארס,злоба
להזכר,помнить
מצופים,Покрытые
יקיריי,дорогой
תמונתו,Картина
מהניסיון,Опыт
וקנה,И купил
מקומנו,Наше место
צה,Це
התעניינות,интерес
ta,та
למספרים,чисел
חרסינה,фарфор
ddror,ddror
מפליגים,парусный спорт
הומצא,Было изобретено
זיבה,гонорея
בקבוקון,колба
הש,голень
מסטולים,под кайфом
אתרחק,Уйдешь
דילורנטיס,Dilorntis
הברדס,капот
ישנונית,Соня
-,-
מלריה,малярия
בקרבנו,Наша середина
מאומה,что-нибудь
פילאטיס,пилатес
אחיינית,Племянница
גועלי,противный
ותדאג,И беспокойство
ודודה,И тетя
הנוצץ,блеск
מקבוצה,группа
כיפיים,Весело
פלומה,вниз
סליל,бобина
הניחוח,аромат
אודותיך,О вас
המרוצים,Гонки
במכרות,копи
באשמתה,Fault
הדפסה,печать
אפוי,запеченный
מתגרש,Разводы
שבבים,Набор микросхем
המלתחה,Гардероб
המבוססת,На основании
האוהב,Любящий
ששמעתם,Слышала
תילחמו,Борьба
תמציא,Ферниш
סיסמאות,Пароли
לוסון,Lawson
וקו,Линия
שיצליח,Преуспеть
רולס,Рулоны
נותרנו,Мы оставили
למעוך,раздавить
וסינכרון,И синхронизация
מאכזבת,Неутешительный
הרשית,Вы позволили
בסצינה,Сцена
הגואל,Колокол
שהקהל,Аудитория
חצאיות,Юбки
התעניינתי,заинтересованный
מחקו,Исключен
לרובין,Робин
מהמראה,достопримечательность
ולאחרונה,А в последнее время
חפציך,пожитки
מחשבותיו,мысли
זנותית,блядские
לגרג,Greg
שהתחילה,Началось
ctu,CTU
המקדמה,Advance
יפסק,Остановки
המוסרית,моральный
החיסכון,экономия
החיבוק,Объятия
כפפת,Перчатка
שצופה,наблюдение
דירתו,квартира
הפלזמה,плазма
בייצור,Производство
שביעי,седьмой
בקריאת,чтение
לחליפה,Костюм
אוגוסטין,Augustine
לטובים,Добро
תוקנה,Измененный
scoffs,издевается
תחילתו,Начало
הזינוק,Прыжок
הפירמידות,пирамиды
במכונות,машины
מהמעמד,средний
לפטי,Левша
ברברים,Варвары
בסקרים,Опросы
אחריותך,Ваш собственный риск
שמלא,Заполненный
לעזרתו,Спасение
הקבינט,Кабинет
ווש,Мыть
ותפסיקי,И остановка
למימון,финансов
העיצובים,Проекты
רקובים,гнилой
הדוגמה,пример
שנטל,Шанталь
מאביו,Отец
העדפה,предпочтение
וצפיתי,наблюдение
זכויותיו,права
xsesa,xsesa
רופאת,врач
שפטרנו,Ну из
הגמור,полный
נידח,Удаленный
טראומטית,травматический
הדחפים,настоятельно рекомендую
שהרגנו,Мы убили
משקיף,наблюдатель
מהמקרר,Холодильник
להפגע,задет
ליזום,инициировать
מחוזות,Округа
שבוצע,Провели
תרתי,Буквально
בארקר,зазывала
ממסיבת,Из прессы
אתנה,Афина
הוכתה,избитый
תטפלו,Береги себя
ants,муравьи
תוותרו,Сдаться
במימון,финансирование
להונג,Hong
שנועדה,предназначенный
שונית,риф
התעלמו,Игнорируется
בשפל,Низкий
בעימות,конфликт
עצמינו,сами
חבויים,скрытый
לנערות,девочки
מיקומה,Местонахождение
הנטייה,Тенденция
דיקסי,походный котелок
מלט,цемент
הנצרה,Штырь
מקיין,Маккейн
ידיות,рукоятки
בעשיית,Изготовление
מתכנית,программа
תשוחרר,Быть выпущеным
מלחציים,Хомуты
סמסון,Сэмпсон
הרוויחו,зарабатывать
מורשית,неразрешенный
תחרותית,Конкурентоспособный
גזעים,Гонки
בדקות,Min
התנוחה,Поза
חמצני,углерод
ויטמן,Уитмен
אפרסם,Публиковать
תפריעי,Не вмешивайся
חקרה,Исследовал
מהקו,Что линия
נקברה,похороненный
המפרט,Технические характеристики
מעגלי,круговой
נסיכים,Домкраты
מהזבל,отбросы
כסימן,отметка
אושן,Океан
לפיצה,ПИЦЦА
להוצאה,Статьи расходов
החיקוי,имитация
הונאות,мошенничество
בעשן,Дым
סקנדל,скандал
שתהייה,Который будет
ונגיע,И мы будем
ונייר,И бумага
הכספיים,Заявления
להקרין,проект
החביות,баррели
מיסתורי,тайна
ברייטון,Brighton
המשובח,Отлично
כיסיתי,Я покрывал
שלווים,мирное
השתדלתי,Я пытался
שהאב,Отец
התומך,опоры
חלילה,не дай бог
שהעתיד,Будущее
בצעו,следить
ערניים,бдительный
פלסטיים,Хирургия
לאנשיי,Люди и шахты
עורכי,редакторы
מומיה,Мама
דילמה,дилемма
במפקדה,Штаб-квартира
שלוף,вничью
ששכרתי,я снимаю
ווינס,Винс
תרמתי,Внесенный
טינקרבל,Tinkerbell
העשבים,сорняки
ברוחב,Ширина
כשנתיים,Два года
הצבתי,Я набор
est,стандартное восточное время
מ,M
אסייתי,азиатка
להצעות,Предложения
איגי,Iggy
הדרגות,Звания
מזיזה,Ходы
כוחותיך,войска
לדימום,Кровотечение
הצטננות,холодный
greenscorpion,greenscorpion
שעשוע,развлечение
כשהילדים,Когда дети
האינטליגנציה,интеллект
מחיינו,Наши жизни
מאונט,Mt.
ודן,Дэн
למנהטן,Манхеттен
התיעוד,Документация
מתלה,стеллаж
ולכולם,И каждый
ניפול,Осень
ונשתה,И пить
חוותה,опытный
מאחרי,За
שפגש,Встретил
לאדום,красный
לרד,помещик
פוצצת,Взрывать
הותירה,уход
טיפסתי,Я забрался
שלילה,отрицание
הופל,вниз Выстрел
מלינה,Мелина
נשיכות,Укусы
ישתפרו,улучшать
קזנובה,Казанова
למפלצות,Монстры
הפלילית,Уголовное
מהבריכה,пруд
תאוצה,ускорение
לפנימייה,школа-интернат
קיימא,устойчивый
תדחה,отклонять
ואדבר,И говорить
דארווין,Дарвин
בתפילה,молитва
שביכולתו,Его сила
ספריית,Библиотека
הפוליטיות,политическая
תבל,Мир
בוואן,Беван
אופני,Велосипеды
בגידול,Увеличение
להימורים,игорный
לוטוס,лотос
שהודח,Был выгнан
נחטפתי,Я был похищен
להמיס,плавиться
פלדמן,Фельдман
טעונים,Загруженный
בביטחה,безопасно
מארון,каштановый
ו,и
נגני,игроки
האנייה,Корабль
פיזיקאי,Физик
להתראיין,Интервью
הקיצוני,радикал
תקשרו,сообщаться
פאסו,Фасо
התגברה,Вырос
שהרווחת,заработанный
אהבל,Дебил
לעידן,эпоха
משמחה,Счастье
הגרועות,Худший
תשר,Подсказка
יוסיף,Будет
קיצוץ,Порезы
שבראש,Наверху
נחייה,Руководство
בשמלת,Платье
פרת,Перт
שקלייר,Claire
ושון,И Шон
ארסנל,Арсенал
מהכוח,Мощность
אפונים,Горох
במעמקי,глубины
מהפיצוץ,взрыв
והמון,И много
העמלה,комиссия
ואליס,Wallis
ושמח,И счастливым
ניסוח,формулировка
סטנד,стенд
לשמיכה,Покрывало на кровать
משתנק,Затычки
שבתוכי,Внутри меня
שמתאימים,Поместиться
סראסן,Srasn
ממגרש,От
צוללן,водолаз
כשמצאנו,Когда мы нашли
פות,вульва
מועסק,занятых
נכסי,Активы
מרחיב,расширяет
שלישיה,тройка
הלבה,лава
העילית,элита
והביאו,И принес
תנשוף,Выдыхая
מהשיחות,переговоры
בכישוף,колдовство
ונסעתי,И пошел
ow,вл
התרמית,афера
הנטוש,слабина
הצעתו,Предложение
ךירצ,Вирц
למחיר,Цена
בניטו,Бенито
בדפורד,Bedford
ודייב,Дейв
תתמקדי,Фокус на
המי,ВОЗ
ובס,работы
למצבים,Ситуации
ההחייאה,CPR
העיקריות,первичный
קופת,фонд
קפואות,замороженный
מוטה,Наклонная
ישגיח,надзирать
נמשוך,Будет ли привлекать
לרוז,Роза
amir,эмир
שפר,улучшать
הרצינות,серьезность
דופרי,Дюпре
אלחוטית,беспроводной
שחיית,Жил
שהמקרה,случай
סלבדור,Сальвадор
שהזמין,приглашенный
מזחלת,санки
איפוא,Следовательно
במבחנים,тесты
המדויקות,точная
באיידס,СПИД
na,не доступно
למכה,Мекка
הפקות,производства
לתוצאה,результат
נשימתו,дыхание
מוחמא,Польщенный
give,дать
מהקרקע,земля
ולהתקשר,И вызов
מקנדה,Канада
שלבחור,парень
ניגשה,Отправился
באב,Бабы
צבעונית,цвет
המבטים,Видать
נוצצת,Сверкающий
למכסה,капот
הרצת,Бег
לארוב,таиться
שמתים,умирающий
כשהזמן,Когда время
זימנת,вызванный
אוב,Обь
ההתעניינות,Интерес
צרי,бальзам
כארז,кедр
נפתחות,Открытие
שהחרא,Дерьмо
זוועות,Страшилки
הרשתי,сеть
במעבדות,лаборатории
פירורים,крошки
לבדיחות,Шутки
החוברת,буклет
והארי,Гарри
אושפז,госпитализированы
מבוהלים,Напуганные
טלפוני,телефон
הוחלפו,Заменены
לחלוב,молоко
נועצים,советоваться
המערך,центровка
שתשאלי,Ты спрашиваешь
צדה,пойманный
רגשותיך,Эмоции
רמאית,обманщик
שעלולה,Что могло
התווכחנו,Мы спорили
מענין,интересно
וביני,И я
הניסיונות,попытки
התבלינים,Приправы
הביצות,Водно-болотные угодья
היעלמותו,исчезновение
אובד,потерял
נמרח,потоковый
סאלבטור,Salvatore
התחילי,Начните
לרדאר,радиолокационный
שובבים,Шутники
משניים,второстепенный
קרירה,карьера
שאליסון,Alison
אודיו,аудио
מהולל,прославленный
אכסה,Я прикрою
יררדי,Irrdi
שהובטח,обещанный
ההפלה,выкидыш
שביצעתי,я сделал
הסנדקית,Крестная мама
ריפא,Исцеляемое
נשימת,дыхание
המפסידים,Проигравшие
קקאו,какао
מאדן,бесить
הסטטיסטיקה,Статистика
מחקת,Исключен
תילחץ,Не паниковать
רקדת,Танцевали
קסטור,колесико
למשקל,вес
לפני,перед
באביך,Твой отец
הרצועות,Дорожки
וקלייר,И Клэр
שיתחילו,Начать
גזעית,расовый
שנלקחו,От
צפתה,наблюдение
מזוהמת,загрязненный
סימקו,Симко
החיבורים,связи
םש,Наименование услуги
שיימוס,Симус
כשיהיו,Когда будет
רוסטר,Петух
נשכה,Немного
נשכר,наемный
קרוק,плут
השתחררה,Выпущенный
הפחידה,Напуганные
לטחון,молоть
רומנטיות,романтик
מזדקנת,старение
הזוועות,Зверства
מפקיד,вкладчик
משתיק,Глушитель
בהונאה,мошенничество
לאמב,ягненок
במיין,Мэн
שאעמוד,Стоять рядом с
מדביק,Пасты
העדשה,объектив
לשתינו,Мы оба
בשבילכן,"Для вас,"
מסתבכים,бардак
sms,SMS
ינקי,янки
תאיר,Tair
הקונפדרציה,конфедерация
בזוג,Пара
מפליג,парусный спорт
הענבים,Виноград
הבי,Вебе
מהגר,иммигрант
לתשובות,ответы
בנס,Ness
האכיל,питающий
וועדת,комиссия
למס,налоги
המקצועיים,Союзы
קוין,Койн
מאיטליה,Италия
מוכיחים,Шоу
יבס,Ив
שאלבש,Я бы носить
סיניים,Китайский
קיומי,экзистенциальный
להצליף,кнут
סטיות,Отклонения
בארקלי,Barkley
ורגוע,И спокойствие
רוצחי,Killers
מהרגל,ножка
שהשנה,Год
מומחי,Специалисты
ההפצה,распределение
במצבה,Состояние
התדרוך,брифинг
אוליי,Ulay
רודוס,Родос
להחשיך,Омрачать
הוחזר,возвращенный
מוסיקאי,музыкант
ליירה,Лира
הראפ,Рэп
ללוס,Los
קברנו,похороненный
הרומנים,румыны
יישרף,сожженный
סטיבנסון,Стивенсон
ארוכת,Длинная
ורפ,Торп
כחברים,друзья
שמנוני,сальный
בדיו,чернила
רצופות,Прямо
בשלשלאות,В цепях
קטגוריה,категория
נחשפת,Показали
לספטמבר,сентябрь
לסופ,В конце
פוטרת,Освободить
פירה,Пюре
המקדים,предварительная обработка
אכנע,капитуляция
הטיעונים,аргументы
מתנהלת,на ходу
מהמוסך,Гараж
לאטלנטה,Atlanta
להתקפל,складка
מרושעות,Гоблины
תפלות,Молитвы
שתלתי,Я насадил
אא,Aa
מהבוס,босс
פחדנו,Мы боялись
שהבעלים,владелец
little,маленький
הבעיטה,выстрел
מעזים,сметь
לאליזבת,Элизабет
לגופו,Его тело
דיממה,Блед
שורט,короткий
לקראתו,Для этого
לנסיעת,Поездка
ההתמודדות,Работа
במלואה,Полный
בפקודה,команда
נשם,дышащий
האלף,тысячелетие
שנרד,Мы получаем
מאושפז,госпитализированы
נעדרתי,Я ушел
הדינוזאור,динозавр
שהראיתי,Я показал
במועדונים,Клубы
טרוריסטית,террористический
ווינגר,нападающий
החמלה,сострадание
pos,позиция
אויביו,враги
בחיבה,любовно
שקבענו,Мы согласились
החגיגות,празднования
זהותה,тождественность
עיירת,Городок
הסתלקה,Ушел
מהחצר,Двор
לאגור,запасать
חטיבה,бригада
בצלים,лук
מעוותים,искаженный
דקל,Пальма
תחילתה,начало
שניצחת,Выиграл
החיזיון,Зрение
מתאמצת,Натяжной
עמדתו,позиция
ההזיות,Галлюцинации
תשפיע,аффект
במודיעין,интеллект
השלישייה,трио
קשירה,обвязка
להסניף,фырканье
מהמצלמה,камера
ותקווה,И надежда
קאלה,кале
מרוני,Maroney
סורי,легкий двухместный экипаж
להנציח,увековечивать
התפוצצות,взрыв
במאמר,Статья
גלויים,видимый
התרכז,Концентрированный
חימר,глина
גיבונס,Gibbons
הסנדוויץ,сандвич
מפרים,ПРОРЫВНЫЕ
לאבדון,Погибель
לארוחות,питание
פרוסטי,морозный
להשחית,продажный
הבקשות,Приложения
שטס,летающий
טירונית,послушник
סניורה,Синьора
צוער,кадет
ולהתחתן,И жениться
ובוכה,И плакать
הפירמה,Фирма
נגמרות,Закончиться
קערות,чаши
הארובה,Дымовая труба
subbie,subbie
זורח,люминесцентный
תתפטר,Уходить в отставку
שמותו,Смерть
סבירים,Доступный
ארמני,армянин
הפדרליים,федеральный
פלפס,Фелпс
בפרסום,реклама
כשהעולם,Когда Мир
גוויה,Труп
טיוח,побелка
תחלוף,суброгация
הכבאי,Пожарный
ריבת,Варенье
מברליין,камергер
הגאונות,гениальность
מלקחיים,Щипцы
גבינות,Сыр
העבריינים,Правонарушители
לתפילה,молитва
ולאבא,И отец
ולפחות,"И по крайней мере,"
בגטו,В
שישן,Он спал
ירשתי,унаследованный
מיקל,Mikel
הרחצה,купание
נגה,Noga
כשאמות,Когда я умру
באחורי,Спина
חומרה,аппаратные средства
הליכות,манеры
מחרמן,Поддразнивания
התענוגות,Удовольствие
מעודכנת,обновленный
מגולח,выбриты
ילחם,Борьба
אבדנו,Утрата
נחותים,низший
